id,customer,product,amount,date
1,Alice,Laptop,1340,2025-02-15
2,Bob,Mouse,25,2025-02-16
3,Charlie,Keyboard,75,2025-02-16
4,Alice,Monitor,300,2025-02-17
5,David,Laptop,1200,2025-02-18
6,Bob,Keyboard,85,2025-02-19
7,Eve,Mouse,25,2025-02-20
8,Charlie,Monitor,300,2025-02-21
9,Alice,USB Cable,15,2025-02-22
10,David,Mouse,25,2025-02-23
11,Eve,Keyboard,75,2025-02-24
12,Bob,Monitor,300,2025-02-25
13,Charlie,Laptop,1200,2025-02-26
14,Alice,Keyboard,75,2025-02-27
15,David,Monitor,300,2025-02-28
16,Eve,Laptop,1203,2025-02-29
17,Bob,USB Cable,15,2025-02-30
18,Charlie,Mouse,25,2025-02-31
19,Alice,Monitor,400,2025-02-01
20,David,Keyboard,751,2025-02-02
