id,customer,product,amount,date
1,Alice,Laptop,1200,2025-01-15
2,Bob,Mouse,25,2025-01-16
3,Charlie,Keyboard,75,2025-01-16
4,Alice,Monitor,300,2025-01-17
5,David,Laptop,1200,2025-01-18
6,Bob,Keyboard,75,2025-01-19
7,Eve,Mouse,25,2025-01-20
8,Charlie,Monitor,300,2025-01-21
9,Alice,USB Cable,15,2025-01-22
10,David,Mouse,25,2025-01-23
11,Eve,Keyboard,75,2025-01-24
12,Bob,Monitor,300,2025-01-25
13,Charlie,Laptop,1200,2025-01-26
14,Alice,Keyboard,75,2025-01-27
15,David,Monitor,300,2025-01-28
16,Eve,Laptop,1200,2025-01-29
17,Bob,USB Cable,15,2025-01-30
18,Charlie,Mouse,25,2025-01-31
